train,1.5841195264112637,val,1.5079228613111708
loss,train,0.8916613380337477,val,1.3934028413560655
Accuracy,train,0.882373595505618,val,0.49954586739327883
Epoch:23
loss,train,0.8896334443645977,val,1.4142574734157987
Accuracy,train,0.8803838951310862,val,0.4841053587647593
Epoch:24
loss,train,0.8784751806143067,val,1.3966352807150946
Accuracy,train,0.8893960674157303,val,0.4822888283378747
Epoch:25
loss,train,0.8719590258285794,val,1.378592610359192
Accuracy,train,0.8834269662921348,val,0.4940962761126249
Epoch:26
loss,train,0.8609445414293126,val,1.3890865246454875
Accuracy,train,0.8905664794007491,val,0.48047229791099
Epoch:27
loss,train,0.8591452724254981,val,1.393435001373291
Accuracy,train,0.8909176029962547,val,0.4822888283378747
Epoch:28
loss,train,0.850228361757507,val,1.3857848246892293
Accuracy,train,0.8968867041198502,val,0.485921889191644
Epoch:29
loss,train,0.8319153982155328,val,1.3850616084204779
Accuracy,train,0.9044943820224719,val,0.4895549500454133
Epoch:30
loss,train,0.8445117853107523,val,1.3857351409064398
Accuracy,train,0.8926732209737828,val,0.4822888283378747
Epoch:31
loss,train,0.8298238503575771,val,1.4000093407101102
Accuracy,train,0.900749063670412,val,0.49318801089918257
Epoch:32
loss,train,0.8215273080693648,val,1.38743077384101
Accuracy,train,0.9013342696629213,val,0.4913714804722979
Epoch:33
loss,train,0.8210737795642252,val,1.3912472195095487
Accuracy,train,0.8986423220973783,val,0.4841053587647593
Epoch:34
